image_path,annotation_path,country,split,label,label_name,has_pothole,num_objects,num_pothole_objects,unique_object_labels,object_labels,image_width,image_height
datasets/rdd2022/India/train/images/India_006359.jpg,datasets/rdd2022/India/train/annotations/xmls/India_006359.xml,India,train,0,non_pothole,0,0,0,,,720,720
datasets/rdd2022/Norway/train/images/Norway_003128.jpg,datasets/rdd2022/Norway/train/annotations/xmls/Norway_003128.xml,Norway,train,0,non_pothole,0,0,0,,,4040,2035
datasets/rdd2022/India/train/images/India_007979.jpg,datasets/rdd2022/India/train/annotations/xmls/India_007979.xml,India,train,0,non_pothole,0,2,0,D00,D00|D00,720,720
datasets/rdd2022/India/train/images/India_008188.jpg,datasets/rdd2022/India/train/annotations/xmls/India_008188.xml,India,train,1,pothole,1,3,1,D00|D40,D00|D00|D40,720,720
datasets/rdd2022/Japan/train/images/Japan_011244.jpg,datasets/rdd2022/Japan/train/annotations/xmls/Japan_011244.xml,Japan,train,0,non_pothole,0,3,0,D10,D10|D10|D10,600,600
datasets/rdd2022/Japan/train/images/Japan_007990.jpg,datasets/rdd2022/Japan/train/annotations/xmls/Japan_007990.xml,Japan,train,0,non_pothole,0,3,0,D00|D50,D50|D50|D00,600,600
datasets/rdd2022/Norway/train/images/Norway_000712.jpg,datasets/rdd2022/Norway/train/annotations/xmls/Norway_000712.xml,Norway,train,0,non_pothole,0,4,0,D00,D00|D00|D00|D00,3643,2041
datasets/rdd2022/United_States/train/images/United_States_002027.jpg,datasets/rdd2022/United_States/train/annotations/xmls/United_States_002027.xml,United_States,train,1,pothole,1,2,1,D00|D40,D00|D40,640,640
datasets/rdd2022/United_States/train/images/United_States_002739.jpg,datasets/rdd2022/United_States/train/annotations/xmls/United_States_002739.xml,United_States,train,0,non_pothole,0,3,0,D00,D00|D00|D00,640,640
datasets/rdd2022/Japan/train/images/Japan_008795.jpg,datasets/rdd2022/Japan/train/annotations/xmls/Japan_008795.xml,Japan,train,0,non_pothole,0,2,0,D10,D10|D10,600,600
